               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10369,             0.03238,            0.034143,           0.0018209,              0.4381,           0.0013374,          0.00025499,            0.031057,            0.022481,            0.013581,               6e-05,               6e-05,             0.09946
                   1,             0.10222,             0.03171,            0.038138,           0.0024948,            0.095238,           0.0019262,          0.00034721,            0.030166,            0.019976,            0.013164,          0.00010075,          0.00010075,            0.098801
                   2,             0.09816,            0.030039,            0.035922,           0.0028022,             0.20952,           0.0019636,          0.00044669,            0.029601,            0.018289,            0.012931,             6.5e-05,             6.5e-05,            0.098065
