               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10369,             0.03238,            0.034143,           0.0018209,              0.4381,           0.0013374,          0.00025499,            0.031057,            0.022481,            0.013581,               6e-05,               6e-05,             0.09946
                   1,             0.10201,             0.03172,            0.038142,           0.0025075,            0.095238,            0.002142,          0.00038231,            0.030015,            0.019944,            0.013135,          0.00012999,          0.00012999,             0.09883
                   2,            0.096158,            0.029999,             0.03578,           0.0025921,             0.20952,           0.0018107,          0.00044481,            0.028381,            0.017872,            0.012817,          0.00019996,          0.00019996,              0.0982
                   3,            0.090998,            0.029169,            0.036853,           0.0079222,            0.047619,           0.0053763,          0.00093358,            0.026142,            0.016517,            0.012615,          0.00026987,          0.00026987,             0.09757
                   4,            0.068089,            0.026746,            0.030061,            0.035687,            0.047619,             0.01937,           0.0028904,            0.024023,            0.015396,            0.012406,           0.0003397,           0.0003397,             0.09694
                   5,            0.081051,            0.028178,            0.034775,            0.046597,             0.20952,            0.034158,           0.0068378,             0.02173,            0.014586,            0.012089,          0.00040943,          0.00040943,            0.096309
                   6,             0.08155,            0.030168,             0.03446,              0.1652,             0.14286,             0.12203,            0.017871,            0.020402,            0.013832,            0.011555,          0.00047904,          0.00047904,            0.095679
                   7,            0.066347,             0.03115,            0.031069,             0.66667,             0.14211,             0.20733,            0.054134,            0.019907,            0.013198,            0.011395,          0.00054851,          0.00054851,            0.095049
                   8,            0.063849,            0.027241,            0.030755,             0.24101,             0.30476,             0.25015,             0.12125,            0.018463,            0.012694,            0.011322,           0.0006178,           0.0006178,            0.094418
                   9,            0.057545,            0.028819,            0.030612,             0.22313,             0.29317,             0.24189,            0.080099,            0.017025,            0.012359,            0.011202,           0.0006869,           0.0006869,            0.093787
                  10,            0.061489,            0.028585,            0.029772,             0.57715,             0.25714,             0.25111,              0.1137,            0.016386,            0.011931,            0.011033,          0.00075579,          0.00075579,            0.093156
                  11,            0.061762,            0.028638,            0.030722,              0.2399,             0.37143,             0.32687,             0.14519,            0.015007,            0.011643,            0.010739,          0.00082444,          0.00082444,            0.092524
                  12,            0.052397,            0.030557,            0.026121,             0.26488,             0.48758,             0.39478,             0.18743,            0.014929,            0.011437,            0.010517,          0.00089283,          0.00089283,            0.091893
                  13,            0.056184,            0.026526,            0.030877,             0.35705,             0.44431,             0.45308,             0.22855,            0.015161,            0.011183,            0.010213,          0.00096093,          0.00096093,            0.091261
                  14,            0.052123,            0.027536,            0.029123,             0.36637,             0.58095,             0.51227,             0.24506,            0.014262,            0.010832,           0.0099236,           0.0010287,           0.0010287,            0.090629
                  15,            0.056386,            0.028594,            0.030262,             0.36877,             0.62857,             0.57481,             0.24896,            0.014241,            0.010312,           0.0096215,           0.0010962,           0.0010962,            0.089996
                  16,             0.05827,            0.026886,            0.029879,              0.3182,             0.69656,             0.52288,             0.24235,            0.013785,           0.0097784,           0.0091606,           0.0011633,           0.0011633,            0.089363
                  17,            0.048041,            0.026102,            0.025505,             0.40331,             0.70476,             0.52431,             0.20369,             0.01318,           0.0094367,           0.0091223,           0.0012301,           0.0012301,             0.08873
                  18,            0.054321,            0.026435,             0.02716,             0.41389,             0.70476,             0.55722,             0.28226,            0.013178,           0.0090899,           0.0092238,           0.0012964,           0.0012964,            0.088096
                  19,            0.052488,            0.026676,            0.026826,             0.49825,             0.74145,             0.57382,             0.30318,            0.012518,           0.0090205,           0.0094649,           0.0013623,           0.0013623,            0.087462
                  20,            0.044726,            0.024347,            0.023231,             0.45425,             0.72381,               0.532,             0.27341,            0.011311,            0.008669,           0.0092891,           0.0014278,           0.0014278,            0.086828
                  21,            0.046069,            0.024311,            0.025926,             0.58011,             0.58095,             0.65191,             0.28639,            0.011283,           0.0082206,           0.0086055,           0.0014929,           0.0014929,            0.086193
                  22,            0.047687,            0.024277,            0.025585,              0.6073,             0.62857,             0.67528,             0.33069,            0.011291,            0.007989,           0.0083065,           0.0015574,           0.0015574,            0.085557
                  23,            0.051655,            0.023515,            0.024348,             0.63061,             0.78526,             0.72845,             0.35555,            0.011888,           0.0076889,            0.008117,           0.0016215,           0.0016215,            0.084921
                  24,            0.049044,             0.02359,             0.02342,             0.61123,             0.74133,             0.65339,             0.34787,            0.014638,           0.0070729,           0.0080639,            0.001685,            0.001685,            0.084285
                  25,            0.046674,            0.021819,            0.023399,             0.73332,             0.82926,             0.83494,             0.48992,            0.014596,           0.0068815,            0.007985,            0.001748,            0.001748,            0.083648
                  26,            0.044328,             0.02209,            0.020213,             0.75742,             0.83655,             0.75821,             0.45062,            0.011835,             0.00672,           0.0084842,           0.0018104,           0.0018104,             0.08301
                  27,            0.051306,            0.023513,            0.020008,             0.71174,              0.8381,             0.76566,             0.43246,             0.01084,           0.0065111,           0.0082472,           0.0018723,           0.0018723,            0.082372
                  28,             0.03826,            0.022499,            0.015051,              0.5391,             0.80046,             0.67425,             0.40445,            0.014817,           0.0063144,           0.0081017,           0.0019335,           0.0019335,            0.081733
                  29,            0.046363,            0.024263,            0.017451,             0.65676,             0.77115,             0.75223,             0.44935,            0.012926,           0.0062148,           0.0077021,           0.0019941,           0.0019941,            0.081094
