               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10369,             0.03238,            0.034143,           0.0018209,              0.4381,           0.0013374,          0.00025499,            0.031057,            0.022481,            0.013581,               6e-05,               6e-05,             0.09946
                   1,             0.10202,            0.031719,            0.038133,           0.0025215,            0.095238,           0.0023392,          0.00041914,            0.030001,            0.019947,            0.013138,             0.00013,             0.00013,             0.09883
                   2,            0.096152,            0.029999,            0.035783,           0.0025722,             0.20952,           0.0017552,          0.00033983,            0.028398,            0.017871,             0.01282,          0.00019998,          0.00019998,              0.0982
                   3,            0.091002,             0.02917,            0.036843,           0.0074331,            0.095238,           0.0049713,          0.00089599,            0.026122,             0.01652,            0.012617,          0.00026994,          0.00026994,             0.09757
                   4,            0.068094,            0.026746,            0.030063,            0.039256,            0.047619,            0.017528,            0.002804,            0.024049,            0.015393,            0.012399,          0.00033987,          0.00033987,             0.09694
                   5,            0.081036,            0.028177,            0.034784,            0.051211,             0.23227,             0.04291,           0.0086394,             0.02188,            0.014572,            0.012075,          0.00040975,          0.00040975,             0.09631
                   6,            0.081424,            0.030159,            0.034477,             0.16641,             0.14286,             0.12634,            0.018354,            0.020466,            0.013791,            0.011554,          0.00047957,          0.00047957,             0.09568
                   7,            0.066352,            0.031146,            0.031109,             0.18536,             0.29629,             0.20804,            0.040813,            0.019889,            0.013142,            0.011382,          0.00054934,          0.00054934,            0.095049
                   8,            0.063904,             0.02724,             0.03086,             0.24441,             0.30476,             0.26762,             0.12489,            0.018824,            0.012635,            0.011336,          0.00061902,          0.00061902,            0.094419
                   9,            0.057296,            0.028804,            0.030474,             0.33323,             0.25714,             0.28393,             0.11231,            0.017027,            0.012313,            0.011113,          0.00068862,          0.00068862,            0.093789
                  10,            0.061727,            0.028607,            0.029945,             0.16185,             0.30476,             0.18428,             0.08517,            0.016263,            0.011873,            0.010966,          0.00075813,          0.00075813,            0.093158
                  11,            0.061437,            0.028657,            0.030609,             0.78135,             0.25714,             0.34818,             0.15258,            0.015082,            0.011577,            0.010687,          0.00082752,          0.00082752,            0.092528
                  12,            0.052221,            0.030579,             0.02615,             0.61169,             0.37143,             0.39444,             0.18328,            0.014489,            0.011433,            0.010509,          0.00089681,          0.00089681,            0.091897
                  13,            0.057451,            0.026459,            0.031282,             0.39195,             0.50616,             0.52897,              0.2679,            0.013836,            0.011171,            0.010526,          0.00096596,          0.00096596,            0.091266
                  14,            0.052233,            0.027435,            0.028653,             0.52094,             0.44151,             0.56602,              0.3209,            0.013586,            0.010936,            0.010731,            0.001035,            0.001035,            0.090635
                  15,            0.054764,            0.028693,            0.030691,             0.59934,             0.41758,             0.55985,             0.28997,            0.012691,            0.010398,             0.01033,           0.0011039,           0.0011039,            0.090004
                  16,            0.056265,            0.026863,              0.0292,             0.42307,             0.79048,             0.57663,              0.2435,            0.013553,            0.009952,           0.0096843,           0.0011726,           0.0011726,            0.089373
                  17,            0.047525,            0.025948,            0.025722,             0.53743,             0.51429,             0.52334,              0.2381,            0.012001,           0.0094751,           0.0095739,           0.0012411,           0.0012411,            0.088741
                  18,            0.051539,            0.026416,            0.026894,             0.47492,             0.60686,             0.54656,             0.28445,            0.013336,           0.0088604,           0.0094966,           0.0013095,           0.0013095,            0.088109
                  19,            0.050423,             0.02623,            0.027304,             0.52223,             0.73454,             0.55207,             0.34249,            0.013591,           0.0085916,           0.0095356,           0.0013777,           0.0013777,            0.087478
                  20,            0.043095,            0.024505,            0.024571,              0.5732,             0.77719,             0.60375,             0.33072,            0.013084,           0.0082199,           0.0090723,           0.0014456,           0.0014456,            0.086846
                  21,            0.044029,            0.024288,            0.025564,             0.60663,             0.79048,             0.66781,             0.42905,            0.013553,           0.0078621,           0.0082412,           0.0015134,           0.0015134,            0.086213
                  22,            0.047274,            0.024045,            0.025268,             0.56906,             0.69154,             0.67013,             0.35364,            0.013585,           0.0074891,           0.0076177,            0.001581,            0.001581,            0.085581
                  23,            0.049367,            0.023369,            0.024358,             0.68977,             0.67529,             0.70841,             0.36187,            0.014193,           0.0071723,           0.0071618,           0.0016483,           0.0016483,            0.084948
                  24,            0.053708,            0.023664,            0.024468,             0.50405,             0.72381,             0.64754,              0.3189,            0.014538,           0.0069583,           0.0068094,           0.0017154,           0.0017154,            0.084315
                  25,            0.044597,            0.021461,            0.024183,             0.51154,              0.8849,             0.65936,             0.31673,            0.015268,           0.0067246,           0.0067313,           0.0017822,           0.0017822,            0.083682
                  26,            0.045572,            0.022137,            0.021485,             0.51632,             0.88571,             0.63692,             0.29108,            0.015965,           0.0064357,           0.0063965,           0.0018488,           0.0018488,            0.083049
                  27,            0.050507,            0.023156,            0.020531,              0.6461,             0.88564,             0.69157,             0.43656,             0.01165,           0.0065567,           0.0063702,           0.0019152,           0.0019152,            0.082415
                  28,            0.039752,            0.022596,            0.015626,             0.57866,             0.88567,             0.71555,              0.3582,            0.012305,            0.006515,           0.0061346,           0.0019812,           0.0019812,            0.081781
                  29,            0.045037,            0.024303,            0.017484,             0.44059,             0.76751,             0.59762,             0.34681,            0.016332,           0.0062714,           0.0059235,            0.002047,            0.002047,            0.081147
                  30,            0.040438,            0.022674,            0.017755,              0.6688,             0.79048,             0.80845,             0.45783,            0.013354,           0.0063822,           0.0054083,           0.0021124,           0.0021124,            0.080512
                  31,             0.04156,            0.022307,            0.016351,              0.6879,             0.85888,               0.845,             0.47993,            0.012082,           0.0062925,           0.0049191,           0.0021776,           0.0021776,            0.079878
                  32,            0.046394,            0.019783,            0.019952,             0.72045,             0.88489,             0.82544,             0.53796,            0.013136,           0.0059465,           0.0045515,           0.0022424,           0.0022424,            0.079242
                  33,            0.053945,            0.020899,             0.01581,             0.54769,             0.81764,             0.72763,             0.35922,            0.015956,           0.0056402,            0.004591,           0.0023069,           0.0023069,            0.078607
                  34,            0.045867,            0.020985,            0.018887,             0.87136,             0.91235,             0.95029,             0.65955,            0.012592,           0.0055323,           0.0040496,           0.0023711,           0.0023711,            0.077971
                  35,            0.045196,            0.021582,            0.018668,              0.8531,             0.89524,             0.94841,             0.58659,           0.0094293,           0.0056688,           0.0039913,            0.002435,            0.002435,            0.077335
                  36,            0.044238,            0.021423,            0.016443,             0.84725,             0.89909,             0.94241,             0.59907,            0.010316,           0.0055744,           0.0039134,           0.0024985,           0.0024985,            0.076698
                  37,            0.049793,            0.021236,             0.01612,             0.78103,              0.9035,             0.92944,              0.5378,            0.012042,           0.0057289,           0.0036416,           0.0025616,           0.0025616,            0.076062
                  38,            0.039283,            0.020515,            0.014043,             0.75762,              0.9983,              0.8859,              0.5601,            0.014928,           0.0059261,           0.0030674,           0.0026244,           0.0026244,            0.075424
                  39,            0.049867,            0.022938,            0.013564,             0.84272,             0.90729,             0.92935,             0.47834,           0.0095561,           0.0059015,           0.0031964,           0.0026867,           0.0026867,            0.074787
                  40,            0.040153,            0.020361,             0.01472,             0.77895,              0.9844,             0.94417,             0.56764,            0.010913,           0.0053959,           0.0039398,           0.0027487,           0.0027487,            0.074149
                  41,             0.03669,            0.020327,            0.012882,             0.84298,             0.78097,             0.88207,             0.59483,            0.012059,           0.0054311,           0.0033113,           0.0028103,           0.0028103,             0.07351
                  42,            0.040714,            0.019671,            0.010626,             0.91663,             0.75031,             0.87398,             0.58063,            0.015252,           0.0054619,           0.0039115,           0.0028715,           0.0028715,            0.072872
                  43,            0.048632,            0.020015,            0.012547,             0.62668,              0.8029,             0.77618,             0.52631,             0.01713,           0.0052497,           0.0040183,           0.0029323,           0.0029323,            0.072232
                  44,            0.042819,            0.019559,            0.017249,             0.85798,             0.90816,             0.96306,             0.64928,            0.010164,           0.0052281,           0.0037183,           0.0029926,           0.0029926,            0.071593
                  45,             0.03896,            0.020426,            0.013211,             0.67693,             0.90368,             0.79246,             0.35008,             0.01643,           0.0049148,           0.0034336,           0.0030526,           0.0030526,            0.070953
                  46,            0.036367,            0.018769,            0.010214,             0.74025,             0.99941,             0.90922,             0.61522,            0.010333,           0.0048024,           0.0029472,            0.003112,            0.003112,            0.070312
                  47,            0.046312,            0.019108,           0.0091852,             0.81936,             0.82472,             0.91189,             0.59798,            0.012198,           0.0048368,           0.0027443,           0.0031711,           0.0031711,            0.069671
                  48,            0.041719,            0.019104,            0.010154,             0.95323,             0.87115,             0.95375,               0.495,            0.012037,           0.0048111,           0.0029099,           0.0032296,           0.0032296,             0.06903
                  49,            0.045384,            0.021763,            0.011623,             0.87835,             0.89685,             0.94642,             0.59586,            0.010749,           0.0050534,           0.0033956,           0.0032877,           0.0032877,            0.068388
                  50,            0.044805,            0.020447,           0.0084012,             0.89136,              0.8351,             0.88803,              0.5971,           0.0091278,           0.0050666,           0.0036059,           0.0033454,           0.0033454,            0.067745
                  51,            0.038408,            0.020528,            0.010352,              0.7576,             0.85324,             0.84545,             0.48717,            0.012372,           0.0047855,           0.0035987,           0.0034025,           0.0034025,            0.067103
