               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.042508,            0.021239,            0.016945,             0.74106,             0.85611,             0.89359,             0.59356,           0.0096448,           0.0059006,           0.0060057,           0.0019133,           0.0019133,            0.076113
                  37,            0.047067,            0.021244,            0.016622,             0.59108,             0.92563,             0.81465,             0.40943,            0.012674,           0.0057258,            0.005492,           0.0019311,           0.0019311,            0.075431
                  38,            0.040901,            0.020306,            0.014817,             0.74578,             0.98621,             0.89583,             0.59234,            0.014249,           0.0054826,           0.0050157,           0.0019466,           0.0019466,            0.074747
                  39,            0.046593,            0.022864,            0.013891,             0.83604,              0.9373,             0.94389,             0.59146,            0.010175,           0.0054881,           0.0041985,           0.0019598,           0.0019598,             0.07406
                  40,            0.040662,            0.020005,            0.016073,             0.92573,             0.90395,             0.93767,             0.61933,           0.0097947,           0.0052853,           0.0038785,           0.0019707,           0.0019707,            0.073371
                  41,              0.0353,            0.019877,            0.015448,             0.93014,             0.90151,             0.91667,             0.53753,            0.012102,           0.0050831,           0.0032947,           0.0019793,           0.0019793,            0.072679
                  42,            0.038773,            0.019671,            0.011258,             0.85478,             0.90323,             0.87617,             0.55658,            0.011457,            0.005295,           0.0033258,           0.0019857,           0.0019857,            0.071986
                  43,            0.047158,            0.019746,            0.015119,             0.77228,                   1,             0.91553,             0.61244,            0.010826,           0.0054315,           0.0036363,           0.0019899,           0.0019899,             0.07129
                  44,            0.040955,            0.019704,            0.019881,              0.8265,             0.80099,             0.86263,             0.54872,           0.0097929,           0.0058121,           0.0043147,           0.0019918,           0.0019918,            0.070592
                  45,            0.037682,            0.020366,            0.013368,             0.67466,             0.88526,              0.8101,             0.42595,            0.010711,           0.0054185,            0.004637,           0.0019915,           0.0019915,            0.069891
                  46,            0.034582,            0.018649,            0.011973,             0.79634,             0.84958,             0.86258,             0.58695,            0.010669,           0.0051582,           0.0052013,            0.001989,            0.001989,            0.069189
                  47,            0.045099,            0.019433,            0.010947,             0.80892,              0.8738,             0.93611,             0.48573,             0.01147,           0.0051043,           0.0050041,           0.0019844,           0.0019844,            0.068484
                  48,            0.039305,            0.019529,            0.012806,             0.90844,              0.8872,             0.93427,             0.46504,            0.011915,           0.0048369,           0.0036755,           0.0019776,           0.0019776,            0.067778
                  49,            0.046275,            0.021982,            0.013443,             0.91286,              0.9812,             0.97125,             0.57696,            0.010516,            0.004808,           0.0035639,           0.0019688,           0.0019688,            0.067069
                  50,            0.044934,            0.020417,           0.0099014,             0.85768,             0.96706,             0.94719,             0.59547,            0.009978,           0.0047784,           0.0039876,            0.001958,            0.001958,            0.066358
                  51,            0.036682,            0.020453,            0.010781,             0.85272,             0.93437,             0.93148,             0.58246,           0.0096606,           0.0048159,            0.004202,           0.0019452,           0.0019452,            0.065645
                  52,            0.044633,            0.020088,              0.0116,             0.90328,             0.94829,             0.95082,             0.59535,            0.010176,           0.0048882,           0.0040158,           0.0019305,           0.0019305,             0.06493
